start_article_title,starter_article_url,selection_strat,hops_to_phil
Five Nations Roller Derby Championships,https://en.wikipedia.org/wiki/Five_Nations_Roller_Derby_Championships,NTH_LINK(2),14

Joseph Biroli,https://en.wikipedia.org/wiki/Joseph_Biroli,WORDNET,7

Joseph Biroli,https://en.wikipedia.org/wiki/Joseph_Biroli,NTH_LINK(2),10

Joseph Biroli,https://en.wikipedia.org/wiki/Joseph_Biroli,EMBEDDING_WORD2VEC,8

Terry Cottam,https://en.wikipedia.org/wiki/Terry_Cottam,WORDNET,11

Terry Cottam,https://en.wikipedia.org/wiki/Terry_Cottam,NTH_LINK(2),43

Devasena (Vakataka king),https://en.wikipedia.org/wiki/Devasena_(Vakataka_king),NTH_LINK(2),46

Terry Canales,https://en.wikipedia.org/wiki/Terry_Canales,NTH_LINK(2),37

Herdis Torvaldsdatter,https://en.wikipedia.org/wiki/Herdis_Torvaldsdatter,NTH_LINK(2),44

Pule Mabe,https://en.wikipedia.org/wiki/Pule_Mabe,NTH_LINK(2),16

Pule Mabe,https://en.wikipedia.org/wiki/Pule_Mabe,EMBEDDING_WORD2VEC,5

BYU Cougars softball,https://en.wikipedia.org/wiki/BYU_Cougars_softball,NTH_LINK(2),40

2005 NBA Finals,https://en.wikipedia.org/wiki/2005_NBA_Finals,NTH_LINK(2),42

Elaeophora sagitta,https://en.wikipedia.org/wiki/Elaeophora_sagitta,NTH_LINK(2),16

Berlin-Steglitz-Zehlendorf,https://en.wikipedia.org/wiki/Berlin-Steglitz-Zehlendorf,WORDNET,5

"Church of the Holy Mother of God, Bolshiye Saly","https://en.wikipedia.org/wiki/Church_of_the_Holy_Mother_of_God,_Bolshiye_Saly",WORDNET,6

Cindy Parlow Cone,https://en.wikipedia.org/wiki/Cindy_Parlow_Cone,WORDNET,9

Cindy Parlow Cone,https://en.wikipedia.org/wiki/Cindy_Parlow_Cone,NTH_LINK(2),36

Cindy Parlow Cone,https://en.wikipedia.org/wiki/Cindy_Parlow_Cone,EMBEDDING_WORD2VEC,8

Foreign relations of Mauritania,https://en.wikipedia.org/wiki/Foreign_relations_of_Mauritania,NTH_LINK(2),15

Foreign relations of Mauritania,https://en.wikipedia.org/wiki/Foreign_relations_of_Mauritania,EMBEDDING_WORD2VEC,8

Bridge Abutments,https://en.wikipedia.org/wiki/Bridge_Abutments,NTH_LINK(2),42

Wikispaces,https://en.wikipedia.org/wiki/Wikispaces,WORDNET,11

Wikispaces,https://en.wikipedia.org/wiki/Wikispaces,NTH_LINK(2),18

Double-Cross System,https://en.wikipedia.org/wiki/Double-Cross_System,WORDNET,6

Double-Cross System,https://en.wikipedia.org/wiki/Double-Cross_System,NTH_LINK(2),20

"Abbasabad, Momenabad","https://en.wikipedia.org/wiki/Abbasabad,_Momenabad",NTH_LINK(2),17

Georg Joos,https://en.wikipedia.org/wiki/Georg_Joos,NTH_LINK(2),40

Siege of Khost,https://en.wikipedia.org/wiki/Siege_of_Khost,WORDNET,6

Siege of Khost,https://en.wikipedia.org/wiki/Siege_of_Khost,NTH_LINK(2),45

Colman Treacy,https://en.wikipedia.org/wiki/Colman_Treacy,WORDNET,6

Colman Treacy,https://en.wikipedia.org/wiki/Colman_Treacy,NTH_LINK(2),43

Thamy Ventorin,https://en.wikipedia.org/wiki/Thamy_Ventorin,NTH_LINK(2),26

Levi Richardson,https://en.wikipedia.org/wiki/Levi_Richardson,NTH_LINK(2),10

Ada Bittenbender,https://en.wikipedia.org/wiki/Ada_Bittenbender,NTH_LINK(2),42

Moungoundou-nord District,https://en.wikipedia.org/wiki/Moungoundou-nord_District,NTH_LINK(2),17

North Carolina Tar Heels men's lacrosse,https://en.wikipedia.org/wiki/North_Carolina_Tar_Heels_men%27s_lacrosse,NTH_LINK(2),44

Oberea rhodesica,https://en.wikipedia.org/wiki/Oberea_rhodesica,NTH_LINK(2),20

Yang Joon-a,https://en.wikipedia.org/wiki/Yang_Joon-a,NTH_LINK(2),43

Drop That Kitty,https://en.wikipedia.org/wiki/Drop_That_Kitty,WORDNET,11

Drop That Kitty,https://en.wikipedia.org/wiki/Drop_That_Kitty,NTH_LINK(2),19

"Elmer, New Jersey","https://en.wikipedia.org/wiki/Elmer,_New_Jersey",WORDNET,6

"Elmer, New Jersey","https://en.wikipedia.org/wiki/Elmer,_New_Jersey",NTH_LINK(2),39

"Elmer, New Jersey","https://en.wikipedia.org/wiki/Elmer,_New_Jersey",EMBEDDING_WORD2VEC,8

1948 Ashes series,https://en.wikipedia.org/wiki/1948_Ashes_series,NTH_LINK(2),17

Thomas Stahr,https://en.wikipedia.org/wiki/Thomas_Stahr,NTH_LINK(2),10

Thomas Stahr,https://en.wikipedia.org/wiki/Thomas_Stahr,EMBEDDING_WORD2VEC,6

Katharine Massam,https://en.wikipedia.org/wiki/Katharine_Massam,EMBEDDING_WORD2VEC,7

Suicide in Bangladesh,https://en.wikipedia.org/wiki/Suicide_in_Bangladesh,WORDNET,7

Béni-Aïssi,https://en.wikipedia.org/wiki/B%C3%A9ni-A%C3%AFssi,WORDNET,7

Global HIV Vaccine Enterprise,https://en.wikipedia.org/wiki/Global_HIV_Vaccine_Enterprise,NTH_LINK(2),31

List of people from Tochigi Prefecture,https://en.wikipedia.org/wiki/List_of_people_from_Tochigi_Prefecture,NTH_LINK(2),40

Michel Vergé-Franceschi,https://en.wikipedia.org/wiki/Michel_Verg%C3%A9-Franceschi,NTH_LINK(2),25

Kelly Schumacher,https://en.wikipedia.org/wiki/Kelly_Schumacher,NTH_LINK(2),17

Kelly Schumacher,https://en.wikipedia.org/wiki/Kelly_Schumacher,EMBEDDING_WORD2VEC,8

Symphony No. 5 (Villa-Lobos),https://en.wikipedia.org/wiki/Symphony_No._5_(Villa-Lobos),WORDNET,5

Symphony No. 5 (Villa-Lobos),https://en.wikipedia.org/wiki/Symphony_No._5_(Villa-Lobos),EMBEDDING_WORD2VEC,3

Gordon Anderson (author),https://en.wikipedia.org/wiki/Gordon_Anderson_(author),NTH_LINK(2),42

Gordon Anderson (author),https://en.wikipedia.org/wiki/Gordon_Anderson_(author),EMBEDDING_WORD2VEC,3

Zimbabwe at the 2008 Summer Paralympics,https://en.wikipedia.org/wiki/Zimbabwe_at_the_2008_Summer_Paralympics,NTH_LINK(2),44

Zimbabwe at the 2008 Summer Paralympics,https://en.wikipedia.org/wiki/Zimbabwe_at_the_2008_Summer_Paralympics,EMBEDDING_WORD2VEC,8

"Vostochny District, Moscow","https://en.wikipedia.org/wiki/Vostochny_District,_Moscow",EMBEDDING_WORD2VEC,5

Skousen,https://en.wikipedia.org/wiki/Skousen,NTH_LINK(2),22

East Wind Over Weehawken,https://en.wikipedia.org/wiki/East_Wind_Over_Weehawken,EMBEDDING_WORD2VEC,7

Mucophagy,https://en.wikipedia.org/wiki/Mucophagy,NTH_LINK(2),8

Leixlip Louisa Bridge railway station,https://en.wikipedia.org/wiki/Leixlip_Louisa_Bridge_railway_station,NTH_LINK(2),14

Leixlip Louisa Bridge railway station,https://en.wikipedia.org/wiki/Leixlip_Louisa_Bridge_railway_station,EMBEDDING_WORD2VEC,7

Bathyphantes brevis,https://en.wikipedia.org/wiki/Bathyphantes_brevis,NTH_LINK(2),15

The Door Is Always Open,https://en.wikipedia.org/wiki/The_Door_Is_Always_Open,EMBEDDING_WORD2VEC,9

"Mahajeran, Markazi","https://en.wikipedia.org/wiki/Mahajeran,_Markazi",WORDNET,4

"Mahajeran, Markazi","https://en.wikipedia.org/wiki/Mahajeran,_Markazi",NTH_LINK(2),46

Not of this World,https://en.wikipedia.org/wiki/Not_of_this_World,NTH_LINK(2),17

Bruton Abbey,https://en.wikipedia.org/wiki/Bruton_Abbey,WORDNET,9

Bruton Abbey,https://en.wikipedia.org/wiki/Bruton_Abbey,NTH_LINK(2),47

Bruton Abbey,https://en.wikipedia.org/wiki/Bruton_Abbey,EMBEDDING_WORD2VEC,10

"Esenburun, Bitlis","https://en.wikipedia.org/wiki/Esenburun,_Bitlis",NTH_LINK(2),20

"Esenburun, Bitlis","https://en.wikipedia.org/wiki/Esenburun,_Bitlis",EMBEDDING_WORD2VEC,5

Epi ton deeseon,https://en.wikipedia.org/wiki/Epi_ton_deeseon,EMBEDDING_WORD2VEC,11

To Marry a Captain,https://en.wikipedia.org/wiki/To_Marry_a_Captain,NTH_LINK(2),16

Athletics at the 1991 Summer Universiade – Men's 800 metres,https://en.wikipedia.org/wiki/Athletics_at_the_1991_Summer_Universiade_%E2%80%93_Men%27s_800_metres,NTH_LINK(2),11

Phyllosticta palmetto,https://en.wikipedia.org/wiki/Phyllosticta_palmetto,WORDNET,3

