start_article_title,starter_article_url,selection_strat,hops_to_phil
O Malho,https://en.wikipedia.org/wiki/O_Malho,WORDNET,11

O Malho,https://en.wikipedia.org/wiki/O_Malho,NTH_LINK(1),9

O Malho,https://en.wikipedia.org/wiki/O_Malho,EMBEDDING_WORD2VEC,3

KZBB,https://en.wikipedia.org/wiki/KZBB,WORDNET,6

KZBB,https://en.wikipedia.org/wiki/KZBB,NTH_LINK(1),17

KZBB,https://en.wikipedia.org/wiki/KZBB,EMBEDDING_WORD2VEC,9

Walter Burkert,https://en.wikipedia.org/wiki/Walter_Burkert,WORDNET,4

Walter Burkert,https://en.wikipedia.org/wiki/Walter_Burkert,NTH_LINK(1),19

Walter Burkert,https://en.wikipedia.org/wiki/Walter_Burkert,EMBEDDING_WORD2VEC,6

Bruce Hampton,https://en.wikipedia.org/wiki/Bruce_Hampton,WORDNET,5

Bruce Hampton,https://en.wikipedia.org/wiki/Bruce_Hampton,NTH_LINK(1),21

Bruce Hampton,https://en.wikipedia.org/wiki/Bruce_Hampton,EMBEDDING_WORD2VEC,5

Alcubierre drive,https://en.wikipedia.org/wiki/Alcubierre_drive,WORDNET,2

Alcubierre drive,https://en.wikipedia.org/wiki/Alcubierre_drive,NTH_LINK(1),17

Alcubierre drive,https://en.wikipedia.org/wiki/Alcubierre_drive,EMBEDDING_WORD2VEC,2

John Cornford,https://en.wikipedia.org/wiki/John_Cornford,WORDNET,8

John Cornford,https://en.wikipedia.org/wiki/John_Cornford,NTH_LINK(1),18

John Cornford,https://en.wikipedia.org/wiki/John_Cornford,EMBEDDING_WORD2VEC,8

2019 CS Finlandia Trophy,https://en.wikipedia.org/wiki/2019_CS_Finlandia_Trophy,WORDNET,12

2019 CS Finlandia Trophy,https://en.wikipedia.org/wiki/2019_CS_Finlandia_Trophy,NTH_LINK(1),19

2019 CS Finlandia Trophy,https://en.wikipedia.org/wiki/2019_CS_Finlandia_Trophy,EMBEDDING_WORD2VEC,9

Jes�s Arredondo Vel�zquez,https://en.wikipedia.org/wiki/Jes%C3%BAs_Arredondo_Vel%C3%A1zquez,WORDNET,8

Jes�s Arredondo Vel�zquez,https://en.wikipedia.org/wiki/Jes%C3%BAs_Arredondo_Vel%C3%A1zquez,NTH_LINK(1),4

Jes�s Arredondo Vel�zquez,https://en.wikipedia.org/wiki/Jes%C3%BAs_Arredondo_Vel%C3%A1zquez,EMBEDDING_WORD2VEC,7

Departmental Council of Finist�re,https://en.wikipedia.org/wiki/Departmental_Council_of_Finist%C3%A8re,WORDNET,6

Departmental Council of Finist�re,https://en.wikipedia.org/wiki/Departmental_Council_of_Finist%C3%A8re,NTH_LINK(1),18

Departmental Council of Finist�re,https://en.wikipedia.org/wiki/Departmental_Council_of_Finist%C3%A8re,EMBEDDING_WORD2VEC,4

List of operatic pop artists,https://en.wikipedia.org/wiki/List_of_operatic_pop_artists,WORDNET,4

List of operatic pop artists,https://en.wikipedia.org/wiki/List_of_operatic_pop_artists,NTH_LINK(1),17

List of operatic pop artists,https://en.wikipedia.org/wiki/List_of_operatic_pop_artists,EMBEDDING_WORD2VEC,6

Elisabeth Frink,https://en.wikipedia.org/wiki/Elisabeth_Frink,WORDNET,5

Elisabeth Frink,https://en.wikipedia.org/wiki/Elisabeth_Frink,NTH_LINK(1),14

Elisabeth Frink,https://en.wikipedia.org/wiki/Elisabeth_Frink,EMBEDDING_WORD2VEC,5

Symplocamide A,https://en.wikipedia.org/wiki/Symplocamide_A,WORDNET,5

Symplocamide A,https://en.wikipedia.org/wiki/Symplocamide_A,NTH_LINK(1),16

Symplocamide A,https://en.wikipedia.org/wiki/Symplocamide_A,EMBEDDING_WORD2VEC,11

Walang Panginoon,https://en.wikipedia.org/wiki/Walang_Panginoon,WORDNET,2

Walang Panginoon,https://en.wikipedia.org/wiki/Walang_Panginoon,NTH_LINK(1),11

Walang Panginoon,https://en.wikipedia.org/wiki/Walang_Panginoon,EMBEDDING_WORD2VEC,2

Ephemera compar,https://en.wikipedia.org/wiki/Ephemera_compar,WORDNET,10

Ephemera compar,https://en.wikipedia.org/wiki/Ephemera_compar,NTH_LINK(1),16

Ephemera compar,https://en.wikipedia.org/wiki/Ephemera_compar,EMBEDDING_WORD2VEC,5

John Godfrey Saxe II,https://en.wikipedia.org/wiki/John_Godfrey_Saxe_II,WORDNET,9

John Godfrey Saxe II,https://en.wikipedia.org/wiki/John_Godfrey_Saxe_II,NTH_LINK(1),31

John Godfrey Saxe II,https://en.wikipedia.org/wiki/John_Godfrey_Saxe_II,EMBEDDING_WORD2VEC,7

List of colonial governors in 1703,https://en.wikipedia.org/wiki/List_of_colonial_governors_in_1703,WORDNET,4

List of colonial governors in 1703,https://en.wikipedia.org/wiki/List_of_colonial_governors_in_1703,NTH_LINK(1),17

